1;2;3.5
1;29;3.5
1;32;3.5
1;47;3.5
1;50;3.5
1;112;3.5
1;151;4.0
1;223;4.0
1;253;4.0
2;3;4.0
2;62;5.0
2;70;5.0
2;110;4.0
2;242;3.0
2;260;5.0
2;266;5.0
2;469;3.0
2;480;5.0
2;541;5.0
3;1;4.0
3;24;3.0
3;32;4.0
3;50;5.0
3;160;3.0
3;173;2.0
3;175;5.0
3;196;3.0
3;223;5.0
3;260;5.0
4;6;3.0
4;10;4.0
4;19;3.0
4;32;1.0
4;165;3.0
4;329;3.0
4;350;4.0
4;356;4.0
4;367;3.0
4;368;4.0
5;2;3.0
5;11;5.0
5;17;3.0
5;60;3.0
5;62;5.0
5;104;2.0
5;110;4.0
5;140;2.0
5;141;5.0
5;150;5.0
6;1;5.0
6;3;3.0
6;7;5.0
6;17;5.0
6;52;5.0
6;62;5.0
6;135;3.0
6;140;4.0
6;141;5.0
6;260;4.0
7;3;3.0
7;7;3.0
7;11;4.0
7;15;2.0
7;16;3.0
7;17;2.0
7;24;3.0
7;105;2.0
7;122;2.0
7;151;3.0
8;1;4.0
8;3;5.0
8;6;3.0
8;10;4.0
8;19;1.0
8;21;4.0
8;39;3.0
8;47;5.0
8;48;4.0
8;110;5.0
9;356;4.0
9;858;5.0
9;1219;3.0
9;1911;3.0
9;1923;4.0
9;1997;5.0
9;2279;3.0
9;2605;2.0
9;2683;3.0
9;2688;3.0
10;1;4.0
10;11;4.0
10;25;4.0
10;260;4.0
10;356;3.0
10;527;5.0
10;858;5.0
10;912;4.0
10;969;4.0
10;1094;3.0
10;1136;4.0
